0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class
5609.8105,-4335.512,-2182.5195,-524.02136,404.45624,294.3164,501.23828,-617.48114,-503.32065,402.61264,498.33136,434.79233,16.4561,1002.9301,-586.10077,47.201874,-118.8963,-92.34067,424.41336,-522.38043,-398.72604,308.87738,-319.771,231.03302,-146.85217,-489.35837,322.2152,663.73016,313.14624,-33.37265,138.00339,468.86423,181.99037,-409.51947,255.12459,-378.64804,96.483154,-591.17004,734.67163,93.70967,-344.90427,-127.95047,261.83698,-504.02438,-390.00128,242.60147,340.01886,65.23038,117.55493,124.452896,59.14456,-231.06496,62.217102,-276.16324,-432.0428,-322.45618,141.58127,344.08026,250.31268,107.23549,-320.79993,210.11609,-116.89193,-501.01776,-280.92712,-246.31364,61.510384,342.51144,498.9984,64.951706,175.76387,-448.7288,-138.04156,-28.776955,-34.487732,-134.56204,-412.27362,403.78647,24.99485,304.40085,168.72261,-140.49161,3.232871,57.849197,-515.95325,-20.943932,56.476654,249.67697,-230.22595,343.2558,-262.7835,37.262863,196.63037,-102.49699,99.865845,-274.48035,98.156456,-1.8702126,-168.27405,-262.16394,3
4706.5215,1920.3961,56.950012,-12.184448,158.38681,-246.33241,91.343506,291.01807,180.17267,137.19412,-155.74219,-91.27261,-115.11487,-92.11316,-73.05056,35.053436,-2.4771729,69.42917,94.93677,75.77667,-134.52893,63.991806,153.05347,17.961609,128.13669,5.866638,-99.3327,8.194489,-115.42194,-121.21601,84.80525,-136.81659,226.14868,46.21608,34.79207,137.76273,39.41086,-73.10446,85.13406,-40.363663,-63.933495,3.4774399,-145.73221,52.410553,91.14436,121.894615,-70.46385,-59.72422,42.52301,36.38553,46.10579,24.004112,30.156136,65.341156,123.43881,173.46635,-36.370712,102.83148,-13.990807,66.20824,209.34492,-19.47847,-49.717148,44.996975,20.902283,-106.631546,-62.663578,-168.19493,41.304085,-120.660446,-58.99996,0.14969635,-10.080791,-2.5662308,-192.85333,-3.1046143,172.22948,70.02826,-24.335388,-53.30236,-31.085007,40.70149,132.19914,74.63259,2.913395,-117.315636,-98.95058,-8.33267,95.60313,32.477562,-194.21071,62.4711,37.122513,0.44648933,-37.863632,-4.7628098,22.244694,-111.59333,-66.38816,-73.35747,8
6615.439,2344.8442,4.815918,-65.13455,-39.801056,-67.9003,-65.34137,30.211426,9.019653,18.922981,-84.364815,35.72838,-58.61133,-99.67645,51.351128,42.28363,-73.215775,-34.45157,16.271301,24.859442,19.619904,33.619644,32.54892,-21.58313,-113.45184,-31.305634,-73.31067,1.879528,55.271927,11.6354065,42.658447,-71.468025,6.1553497,87.95538,63.488846,78.95303,-47.070198,-208.4618,13.870941,40.779724,-35.59935,28.046661,-17.861938,-9.330139,42.012863,85.14828,-32.13629,81.48961,-69.43219,-59.532898,-41.838303,5.525421,-49.786644,49.752563,57.326466,-113.79329,-17.747864,105.181885,-13.999702,106.84432,-17.239532,65.12811,-94.35133,5.0758324,65.46422,10.95879,-23.601562,-0.69041634,-4.6498713,-12.464691,103.03929,-17.953934,55.90632,60.264633,-110.61704,-58.889595,40.036045,27.093689,-20.640427,70.92775,-18.903107,19.001556,29.313534,-47.71736,-55.267662,-43.329292,-40.80763,-27.97422,82.82829,34.75833,-30.646233,14.784668,-10.532852,7.5509567,-43.38702,29.829918,55.15985,137.59264,-102.37936,9.624268,1
-3711.2002,475.18515,-440.85895,251.87024,-533.2252,224.99203,13.959473,34.897736,-405.92297,-174.48982,174.60114,722.46716,-161.84805,-441.56177,-136.1261,303.98303,-457.1676,-385.91162,-233.39166,72.85243,-14.374687,94.81552,-43.455353,-64.78903,23.558594,-440.99084,-32.573036,-641.64185,116.771675,48.674374,152.7309,-40.847,234.57028,327.69702,363.58923,-288.54752,-25.365007,-663.796,-121.91615,-428.95474,325.32605,237.19229,221.45349,442.93378,-241.6316,-25.190384,-410.7615,-129.29465,184.41058,-146.86255,-98.18465,-24.446346,150.5339,-244.03795,104.18289,42.496895,-81.89975,227.9579,29.083096,-4.779396,100.48919,-106.40398,282.05212,69.80236,100.21355,384.9098,-80.65606,-134.06018,245.43262,211.23218,379.45883,32.91837,-81.83007,-346.46484,-111.31188,178.80063,-217.84384,58.005875,193.30765,46.305054,-599.633,-78.22923,37.22261,232.3909,59.02426,-207.0569,-195.62334,29.094181,-201.17557,12.080555,86.59525,-223.643,77.913345,-44.702003,301.1386,-212.74187,76.39018,-3.1027412,-134.22833,23.245064,6
-3922.532,804.6405,-61.406982,288.3841,166.8133,-471.3353,-189.84412,316.91068,273.0588,128.74222,31.07867,-212.47003,304.3822,-98.983536,-170.16544,-41.467407,-188.633,342.53467,-219.87843,110.1541,-181.92966,-67.56897,-29.555923,-115.1062,-152.40585,-240.39575,-179.75446,-173.49532,139.79822,156.35422,21.946484,246.1033,-368.88083,-78.30098,-187.08571,-56.167816,-53.33557,-2.8983612,-234.17038,334.3762,158.41173,234.49959,-85.50876,150.79028,70.387,-14.888954,-15.0119295,127.96048,280.6898,-81.78566,103.17535,23.54493,149.72125,-339.39496,195.49696,-289.3446,-257.35736,-118.151184,221.8045,-192.05069,-170.26115,88.50174,134.80809,-174.8327,81.53992,256.34985,188.14136,-51.69028,135.23022,-313.9047,-136.79456,-168.7828,-17.556004,165.80702,-7.888815,33.043915,-131.01738,-30.554596,-102.44764,-207.08032,-170.05032,-199.0696,-10.031549,152.00693,30.347769,339.41846,102.2543,-154.29405,18.600426,134.65239,0.5786438,-41.25776,-15.666107,201.8891,-48.290062,241.5505,-130.21684,6.8521156,198.90472,39.337166,3
-3835.8994,-443.83786,-102.50775,899.32324,-2009.4976,-1924.9858,-202.93872,-457.64142,-688.06067,830.7468,-694.35736,-276.96698,10.373291,144.64636,644.54663,-1077.558,1091.3319,49.895844,-480.223,393.80972,294.42026,-153.46365,39.95639,195.13992,213.3846,-4.4143066,407.87808,-568.48724,-193.98376,-159.63217,-168.22502,827.5025,-96.44024,-250.99959,76.50311,48.99953,27.458366,-273.3794,-339.0464,711.40515,260.60327,354.53455,432.88187,1.783493,-32.037,-469.67194,480.477,-630.81116,339.2238,287.72372,114.424416,37.197067,24.000183,76.66495,-148.56673,22.867683,435.2065,-280.9338,-273.75616,-110.215096,-366.8288,-130.58034,374.62323,-617.8761,-483.373,-254.3009,-238.38086,214.72182,-136.03412,-215.70032,197.53671,-320.04074,-99.03434,-241.07524,386.23297,297.87347,100.423096,-232.66437,400.84268,-123.71668,-29.464325,-210.39839,138.29637,43.601265,243.15485,-65.21394,2.7066345,33.26566,-128.64337,75.46637,179.65518,-106.49957,-7.616127,400.73416,53.2353,-342.8122,-9.433525,-375.22757,-250.66687,-22.06208,1
-3856.9067,1112.4037,91.73816,-161.65671,393.2686,121.79071,-51.46228,-94.314865,153.57828,12.838135,-52.134544,-108.15231,-4.399887,-248.17935,54.554817,33.449875,-135.16287,31.131325,-41.216415,2.1720963,58.1138,-104.338585,-25.661743,46.57791,-22.695343,-78.580795,68.421295,-20.465279,-60.361717,64.36283,5.553253,50.090363,13.422462,-26.013489,28.635628,3.8059845,26.599583,-47.575226,48.834106,-30.517723,51.806503,-11.852928,60.93116,-115.67441,66.47748,57.474525,80.845764,27.929792,54.185234,15.786911,79.82761,-47.23867,40.02449,-3.2425232,-61.40503,72.13901,63.714493,-43.944794,-30.625023,73.57687,-2.4583778,-17.761627,50.613403,-39.867355,8.623154,18.237001,83.93362,-67.29521,-0.7196331,-7.28981,19.40074,4.323284,-27.597786,70.90206,-37.683243,-79.629166,10.89394,65.830215,-37.474037,-59.742775,-43.772003,31.516579,8.330788,-38.138638,87.874115,35.591637,20.403427,67.32202,-1.4612885,-29.602676,-48.015114,44.904568,-35.475563,16.75237,45.312515,-61.438637,-29.300446,53.65967,18.753796,23.205893,1
-3935.9592,1008.6295,-48.243286,-54.518036,175.42442,273.0371,110.20874,-213.83723,134.82661,60.52469,72.03446,63.238197,-203.58789,-103.4389,0.9913101,5.8529663,-78.085266,145.98193,91.11893,-43.792305,-10.593971,-158.14133,-31.517014,83.58026,-106.31558,4.1733856,9.974197,-43.38806,32.110188,95.40697,83.38365,21.887062,-41.74009,86.435585,-39.35588,-178.03531,4.564689,-35.60295,39.051567,124.82315,3.1160583,-37.271126,-44.06896,99.064575,-137.3907,24.830734,-71.23364,5.1491165,-52.62864,111.358154,-63.252216,-120.379364,36.492146,67.66382,63.066612,-61.099842,38.260147,-34.8555,-67.080696,20.547585,-87.88757,40.414795,87.70026,2.4273453,1.2424469,-28.712368,-104.08611,51.611397,79.28356,98.73804,48.330948,-79.44131,-116.75884,-58.784325,-159.59389,27.76345,-61.744946,29.91594,23.010311,-73.27152,-66.4774,-24.084932,12.129269,-67.94819,12.485298,55.177647,-94.69537,-147.38828,-11.974659,-46.452072,-61.284485,-20.120972,125.56326,-76.99824,53.00216,-15.789415,134.42815,64.18996,-26.673332,-0.10427475,7
4683.3145,1926.7393,-33.799133,-15.08255,-279.34198,57.561676,185.55536,211.30075,-350.89667,-70.65223,-218.62468,-144.33665,-165.07376,-140.55536,-79.7329,-149.7012,-47.127136,46.41809,108.59277,43.764324,-228.53323,-30.591217,-48.152283,-93.345795,221.77036,189.1018,114.62984,-77.57033,-88.10541,-146.93475,-55.067093,24.507263,14.98951,-31.144028,51.690887,226.62543,-108.11166,15.680023,-24.584564,78.92937,26.337082,-123.00981,-234.24733,-107.565216,68.64243,-14.999504,157.25967,85.608696,178.51106,-40.92485,98.71653,-112.040184,-141.83061,118.58369,-88.658585,201.51639,-58.074326,-28.986328,-8.939205,-81.525215,15.923599,166.65594,-79.21525,-29.97787,-163.17018,62.36244,-94.512566,-77.99246,28.876457,12.488098,-86.773895,4.378975,-55.961357,56.848095,134.45921,-95.769226,38.972073,-109.78259,-0.5515442,-12.85041,-20.029388,7.2654076,42.682987,91.65761,57.598553,109.04382,-64.43468,132.81335,-119.908066,15.353516,173.49483,-155.11086,-53.220764,95.001785,191.89848,-71.06462,-169.64233,-38.633465,-60.33272,5.2571564,9
-2464.7197,-510.18787,1227.6898,-1351.7684,-540.93475,198.88455,-1095.8085,-348.9672,241.86624,14.361618,-90.31709,-644.97,265.2928,-221.8403,172.1741,-89.42474,-114.02512,24.73938,384.86398,-180.86212,221.38445,110.07143,-450.81793,361.83466,-375.32245,51.62982,-438.24683,7.1803665,269.1018,-95.94623,109.51788,99.23608,-283.031,-236.87582,-498.66354,417.26752,-115.355804,130.86551,-361.5149,122.5178,75.70061,-612.94653,-409.0812,-248.1318,121.97619,-196.66776,-100.4124,208.93826,-80.18718,-304.177,-53.11557,211.92258,213.97876,-121.853165,50.04402,242.84456,37.288452,318.82938,378.0705,-110.42494,-377.04138,426.33112,395.2209,98.50936,579.86487,262.2296,-0.027797699,-136.07831,-349.33386,-583.1817,298.7256,512.07294,-45.577995,637.65955,-552.0896,-68.95635,-226.75856,-54.90117,371.0185,953.3132,314.70276,1347.633,-855.8616,-568.6607,-573.20197,176.11516,632.5333,-538.70776,246.04909,-566.48975,318.05826,-1633.5157,187.03183,-153.32846,-655.95575,449.0374,979.6223,415.58215,-161.08188,943.781,2
